id,name-form,type_1,type_2,data_species,data_height,data_weight,ability,training_catch_rate,training_base_exp,training_growth_rate,breeding_gender_male,breeding_gender_female,stats_hp,stats_attack,stats_defense,stats_sp_atk,stats_sp_def,stats_speed,stats_total,img
140,Kakuna-Kakuna,Bug,Poison,Cocoon Pokémon,0.6,10.0,Shed Skin,120,72,Medium Fast,50% male,50% female,45,25,50,25,25,35,205,https://img.pokemondb.net/artwork/large/kakuna.jpg
150,Beedrill-Beedrill,Bug,Poison,Poison Bee Pokémon,1.0,29.5,Swarm,45,178,Medium Fast,50% male,50% female,65,90,40,45,80,75,395,https://img.pokemondb.net/artwork/large/beedrill.jpg
151,Beedrill-Mega Beedrill,Bug,Poison,Poison Bee Pokémon,1.4,40.5,Adaptability,45,223,Medium Fast,50% male,50% female,65,150,40,15,80,145,495,https://img.pokemondb.net/artwork/large/beedrill-mega.jpg
160,Pidgey-Pidgey,Normal,Flying,Tiny Bird Pokémon,0.3,1.8,Keen Eye,255,50,Medium Slow,50% male,50% female,40,45,40,35,35,56,251,https://img.pokemondb.net/artwork/large/pidgey.jpg
170,Pidgeotto-Pidgeotto,Normal,Flying,Bird Pokémon,1.1,30.0,Keen Eye,120,122,Medium Slow,50% male,50% female,63,60,55,50,50,71,349,https://img.pokemondb.net/artwork/large/pidgeotto.jpg
180,Pidgeot-Pidgeot,Normal,Flying,Bird Pokémon,1.5,39.5,Keen Eye,45,216,Medium Slow,50% male,50% female,83,80,75,70,70,101,479,https://img.pokemondb.net/artwork/large/pidgeot.jpg
181,Pidgeot-Mega Pidgeot,Normal,Flying,Bird Pokémon,2.2,50.5,No Guard,45,261,Medium Slow,50% male,50% female,83,80,80,135,80,121,579,https://img.pokemondb.net/artwork/large/pidgeot-mega.jpg
190,Rattata-Rattata,Normal,-,Mouse Pokémon,0.3,3.5,Run Away,255,51,Medium Fast,50% male,50% female,30,56,35,25,35,72,253,https://img.pokemondb.net/artwork/large/rattata.jpg
191,Rattata-Alolan Rattata,Normal,-,Mouse Pokémon,0.3,3.8,Gluttony,255,51,Medium Fast,50% male,50% female,30,56,35,25,35,72,253,https://img.pokemondb.net/artwork/large/rattata-alolan.jpg
200,Raticate-Raticate,Normal,-,Mouse Pokémon,0.7,18.5,Run Away,127,145,Medium Fast,50% male,50% female,55,81,60,50,70,97,413,https://img.pokemondb.net/artwork/large/raticate.jpg
201,Raticate-Alolan Raticate,Normal,-,Mouse Pokémon,0.7,25.5,Gluttony,127,145,Medium Fast,50% male,50% female,75,71,70,40,80,77,413,https://img.pokemondb.net/artwork/large/raticate-alolan.jpg
210,Spearow-Spearow,Normal,Flying,Tiny Bird Pokémon,0.3,2.0,Keen Eye,255,52,Medium Fast,50% male,50% female,40,60,30,31,31,70,262,https://img.pokemondb.net/artwork/large/spearow.jpg
220,Fearow-Fearow,Normal,Flying,Beak Pokémon,1.2,38.0,Keen Eye,90,155,Medium Fast,50% male,50% female,65,90,65,61,61,100,442,https://img.pokemondb.net/artwork/large/fearow.jpg
230,Ekans-Ekans,Poison,-,Snake Pokémon,2.0,6.9,Intimidate,255,58,Medium Fast,50% male,50% female,35,60,44,40,54,55,288,https://img.pokemondb.net/artwork/large/ekans.jpg
240,Arbok-Arbok,Poison,-,Cobra Pokémon,3.5,65.0,Intimidate,90,157,Medium Fast,50% male,50% female,60,95,69,65,79,80,448,https://img.pokemondb.net/artwork/large/arbok.jpg
250,Pikachu-Pikachu,Electric,-,Mouse Pokémon,0.4,6.0,Static,190,112,Medium Fast,50% male,50% female,35,55,40,50,50,90,320,https://img.pokemondb.net/artwork/large/pikachu.jpg
251,Pikachu-Partner Pikachu,Electric,-,Mouse Pokémon,0.4,6.0,Static,190,112,Medium Fast,50% male,50% female,45,80,50,75,60,120,430,https://img.pokemondb.net/artwork/large/pikachu-lets-go.jpg
260,Raichu-Raichu,Electric,-,Mouse Pokémon,0.8,30.0,Static,75,218,Medium Fast,50% male,50% female,60,90,55,90,80,110,485,https://img.pokemondb.net/artwork/large/raichu.jpg
261,Raichu-Alolan Raichu,Electric,-,Mouse Pokémon,0.7,21.0,Surge Surfer,75,218,Medium Fast,50% male,50% female,60,85,50,95,85,110,485,https://img.pokemondb.net/artwork/large/raichu-alolan.jpg
270,Sandshrew-Sandshrew,Ground,-,Mouse Pokémon,0.6,12.0,Sand Veil,255,60,Medium Fast,50% male,50% female,50,75,85,20,30,40,300,https://img.pokemondb.net/artwork/large/sandshrew.jpg
271,Sandshrew-Alolan Sandshrew,Ground,-,Mouse Pokémon,0.7,40.0,Snow Cloak,255,60,Medium Fast,50% male,50% female,50,75,90,10,35,40,300,https://img.pokemondb.net/artwork/large/sandshrew-alolan.jpg
280,Sandslash-Sandslash,Ground,-,Mouse Pokémon,1.0,29.5,Sand Veil,90,158,Medium Fast,50% male,50% female,75,100,110,45,55,65,450,https://img.pokemondb.net/artwork/large/sandslash.jpg
281,Sandslash-Alolan Sandslash,Ground,-,Mouse Pokémon,1.2,55.0,Snow Cloak,90,158,Medium Fast,50% male,50% female,75,100,120,25,65,65,450,https://img.pokemondb.net/artwork/large/sandslash-alolan.jpg
290,Nidoran♀-Nidoran♀,Poison,-,Poison Pin Pokémon,0.4,7.0,Poison Point,235,55,Medium Slow,0% male,100% female,55,47,52,40,40,41,275,https://img.pokemondb.net/artwork/large/nidoran-f.jpg
300,Nidorina-Nidorina,Poison,-,Poison Pin Pokémon,0.8,20.0,Poison Point,120,128,Medium Slow,0% male,100% female,70,62,67,55,55,56,365,https://img.pokemondb.net/artwork/large/nidorina.jpg
310,Nidoqueen-Nidoqueen,Poison,Ground,Drill Pokémon,1.3,60.0,Poison Point,45,227,Medium Slow,0% male,100% female,90,92,87,75,85,76,505,https://img.pokemondb.net/artwork/large/nidoqueen.jpg
320,Nidoran♂-Nidoran♂,Poison,-,Poison Pin Pokémon,0.5,9.0,Poison Point,235,55,Medium Slow,100% male,0% female,46,57,40,40,40,50,273,https://img.pokemondb.net/artwork/large/nidoran-m.jpg
330,Nidorino-Nidorino,Poison,-,Poison Pin Pokémon,0.9,19.5,Poison Point,120,128,Medium Slow,100% male,0% female,61,72,57,55,55,65,365,https://img.pokemondb.net/artwork/large/nidorino.jpg
340,Nidoking-Nidoking,Poison,Ground,Drill Pokémon,1.4,62.0,Poison Point,45,227,Medium Slow,100% male,0% female,81,102,77,85,75,85,505,https://img.pokemondb.net/artwork/large/nidoking.jpg
350,Clefairy-Clefairy,Fairy,-,Fairy Pokémon,0.6,7.5,Cute Charm,150,113,Fast,25% male,75% female,70,45,48,60,65,35,323,https://img.pokemondb.net/artwork/large/clefairy.jpg
360,Clefable-Clefable,Fairy,-,Fairy Pokémon,1.3,40.0,Cute Charm,25,217,Fast,25% male,75% female,95,70,73,95,90,60,483,https://img.pokemondb.net/artwork/large/clefable.jpg
370,Vulpix-Vulpix,Fire,-,Fox Pokémon,0.6,9.9,Flash Fire,190,60,Medium Fast,25% male,75% female,38,41,40,50,65,65,299,https://img.pokemondb.net/artwork/large/vulpix.jpg
371,Vulpix-Alolan Vulpix,Fire,-,Fox Pokémon,0.6,9.9,Snow Cloak,190,60,Medium Fast,25% male,75% female,38,41,40,50,65,65,299,https://img.pokemondb.net/artwork/large/vulpix-alolan.jpg
380,Ninetales-Ninetales,Fire,-,Fox Pokémon,1.1,19.9,Flash Fire,75,177,Medium Fast,25% male,75% female,73,76,75,81,100,100,505,https://img.pokemondb.net/artwork/large/ninetales.jpg
381,Ninetales-Alolan Ninetales,Fire,-,Fox Pokémon,1.1,19.9,Snow Cloak,75,177,Medium Fast,25% male,75% female,73,67,75,81,100,109,505,https://img.pokemondb.net/artwork/large/ninetales-alolan.jpg
390,Jigglypuff-Jigglypuff,Normal,Fairy,Balloon Pokémon,0.5,5.5,Cute Charm,170,95,Fast,25% male,75% female,115,45,20,45,25,20,270,https://img.pokemondb.net/artwork/large/jigglypuff.jpg
400,Wigglytuff-Wigglytuff,Normal,Fairy,Balloon Pokémon,1.0,12.0,Cute Charm,50,196,Fast,25% male,75% female,140,70,45,85,50,45,435,https://img.pokemondb.net/artwork/large/wigglytuff.jpg
410,Zubat-Zubat,Poison,Flying,Bat Pokémon,0.8,7.5,Inner Focus,255,49,Medium Fast,50% male,50% female,40,45,35,30,40,55,245,https://img.pokemondb.net/artwork/large/zubat.jpg
420,Golbat-Golbat,Poison,Flying,Bat Pokémon,1.6,55.0,Inner Focus,90,159,Medium Fast,50% male,50% female,75,80,70,65,75,90,455,https://img.pokemondb.net/artwork/large/golbat.jpg
430,Oddish-Oddish,Grass,Poison,Weed Pokémon,0.5,5.4,Chlorophyll,255,64,Medium Slow,50% male,50% female,45,50,55,75,65,30,320,https://img.pokemondb.net/artwork/large/oddish.jpg
440,Gloom-Gloom,Grass,Poison,Weed Pokémon,0.8,8.6,Chlorophyll,120,138,Medium Slow,50% male,50% female,60,65,70,85,75,40,395,https://img.pokemondb.net/artwork/large/gloom.jpg
450,Vileplume-Vileplume,Grass,Poison,Flower Pokémon,1.2,18.6,Chlorophyll,45,221,Medium Slow,50% male,50% female,75,80,85,110,90,50,490,https://img.pokemondb.net/artwork/large/vileplume.jpg
460,Paras-Paras,Bug,Grass,Mushroom Pokémon,0.3,5.4,Effect Spore,190,57,Medium Fast,50% male,50% female,35,70,55,45,55,25,285,https://img.pokemondb.net/artwork/large/paras.jpg
470,Parasect-Parasect,Bug,Grass,Mushroom Pokémon,1.0,29.5,Effect Spore,75,142,Medium Fast,50% male,50% female,60,95,80,60,80,30,405,https://img.pokemondb.net/artwork/large/parasect.jpg
480,Venonat-Venonat,Bug,Poison,Insect Pokémon,1.0,30.0,Compound Eyes,190,61,Medium Fast,50% male,50% female,60,55,50,40,55,45,305,https://img.pokemondb.net/artwork/large/venonat.jpg
490,Venomoth-Venomoth,Bug,Poison,Poison Moth Pokémon,1.5,12.5,Shield Dust,75,158,Medium Fast,50% male,50% female,70,65,60,90,75,90,450,https://img.pokemondb.net/artwork/large/venomoth.jpg
500,Diglett-Diglett,Ground,-,Mole Pokémon,0.2,0.8,Sand Veil,255,53,Medium Fast,50% male,50% female,10,55,25,35,45,95,265,https://img.pokemondb.net/artwork/large/diglett.jpg
501,Diglett-Alolan Diglett,Ground,-,Mole Pokémon,0.2,1.0,Sand Veil,255,53,Medium Fast,50% male,50% female,10,55,30,35,45,90,265,https://img.pokemondb.net/artwork/large/diglett-alolan.jpg
510,Dugtrio-Dugtrio,Ground,-,Mole Pokémon,0.7,33.3,Sand Veil,50,149,Medium Fast,50% male,50% female,35,100,50,50,70,120,425,https://img.pokemondb.net/artwork/large/dugtrio.jpg
511,Dugtrio-Alolan Dugtrio,Ground,-,Mole Pokémon,0.7,66.6,Sand Veil,50,149,Medium Fast,50% male,50% female,35,100,60,50,70,110,425,https://img.pokemondb.net/artwork/large/dugtrio-alolan.jpg
520,Meowth-Meowth,Normal,-,Scratch Cat Pokémon,0.4,4.2,Pickup,255,58,Medium Fast,50% male,50% female,40,45,35,40,40,90,290,https://img.pokemondb.net/artwork/large/meowth.jpg
521,Meowth-Alolan Meowth,Normal,-,Scratch Cat Pokémon,0.4,4.2,Pickup,255,58,Medium Fast,50% male,50% female,40,35,35,50,40,90,290,https://img.pokemondb.net/artwork/large/meowth-alolan.jpg
522,Meowth-Galarian Meowth,Normal,-,Scratch Cat Pokémon,0.4,7.5,Pickup,255,58,Medium Fast,50% male,50% female,50,65,55,40,40,40,290,https://img.pokemondb.net/artwork/large/meowth-galarian.jpg
530,Persian-Persian,Normal,-,Classy Cat Pokémon,1.0,32.0,Limber,90,154,Medium Fast,50% male,50% female,65,70,60,65,65,115,440,https://img.pokemondb.net/artwork/large/persian.jpg
531,Persian-Alolan Persian,Normal,-,Classy Cat Pokémon,1.1,33.0,Fur Coat,90,154,Medium Fast,50% male,50% female,65,60,60,75,65,115,440,https://img.pokemondb.net/artwork/large/persian-alolan.jpg
540,Psyduck-Psyduck,Water,-,Duck Pokémon,0.8,19.6,Damp,190,64,Medium Fast,50% male,50% female,50,52,48,65,50,55,320,https://img.pokemondb.net/artwork/large/psyduck.jpg
550,Golduck-Golduck,Water,-,Duck Pokémon,1.7,76.6,Damp,75,175,Medium Fast,50% male,50% female,80,82,78,95,80,85,500,https://img.pokemondb.net/artwork/large/golduck.jpg
560,Mankey-Mankey,Fighting,-,Pig Monkey Pokémon,0.5,28.0,Vital Spirit,190,61,Medium Fast,50% male,50% female,40,80,35,35,45,70,305,https://img.pokemondb.net/artwork/large/mankey.jpg
570,Primeape-Primeape,Fighting,-,Pig Monkey Pokémon,1.0,32.0,Vital Spirit,75,159,Medium Fast,50% male,50% female,65,105,60,60,70,95,455,https://img.pokemondb.net/artwork/large/primeape.jpg
580,Growlithe-Growlithe,Fire,-,Puppy Pokémon,0.7,19.0,Intimidate,190,70,Slow,75% male,25% female,55,70,45,70,50,60,350,https://img.pokemondb.net/artwork/large/growlithe.jpg
581,Growlithe-Hisuian Growlithe,Fire,-,Scout Pokémon,0.8,22.7,Intimidate,—,—,—,—,—,60,75,45,65,50,55,350,https://img.pokemondb.net/artwork/large/growlithe-hisuian.jpg
590,Arcanine-Arcanine,Fire,-,Legendary Pokémon,1.9,155.0,Intimidate,75,194,Slow,75% male,25% female,90,110,80,100,80,95,555,https://img.pokemondb.net/artwork/large/arcanine.jpg
591,Arcanine-Hisuian Arcanine,Fire,-,Legendary Pokémon,2.0,168.0,Intimidate,—,—,—,—,—,95,115,80,95,80,90,555,https://img.pokemondb.net/artwork/large/arcanine-hisuian.jpg
600,Poliwag-Poliwag,Water,-,Tadpole Pokémon,0.6,12.4,Water Absorb,255,60,Medium Slow,50% male,50% female,40,50,40,40,40,90,300,https://img.pokemondb.net/artwork/large/poliwag.jpg
610,Poliwhirl-Poliwhirl,Water,-,Tadpole Pokémon,1.0,20.0,Water Absorb,120,135,Medium Slow,50% male,50% female,65,65,65,50,50,90,385,https://img.pokemondb.net/artwork/large/poliwhirl.jpg
620,Poliwrath-Poliwrath,Water,Fighting,Tadpole Pokémon,1.3,54.0,Water Absorb,45,230,Medium Slow,50% male,50% female,90,95,95,70,90,70,510,https://img.pokemondb.net/artwork/large/poliwrath.jpg
630,Abra-Abra,Psychic,-,Psi Pokémon,0.9,19.5,Synchronize,200,62,Medium Slow,75% male,25% female,25,20,15,105,55,90,310,https://img.pokemondb.net/artwork/large/abra.jpg
640,Kadabra-Kadabra,Psychic,-,Psi Pokémon,1.3,56.5,Synchronize,100,140,Medium Slow,75% male,25% female,40,35,30,120,70,105,400,https://img.pokemondb.net/artwork/large/kadabra.jpg
650,Alakazam-Alakazam,Psychic,-,Psi Pokémon,1.5,48.0,Synchronize,50,225,Medium Slow,75% male,25% female,55,50,45,135,95,120,500,https://img.pokemondb.net/artwork/large/alakazam.jpg
651,Alakazam-Mega Alakazam,Psychic,-,Psi Pokémon,1.2,48.0,Trace,50,270,Medium Slow,75% male,25% female,55,50,65,175,105,150,600,https://img.pokemondb.net/artwork/large/alakazam-mega.jpg
660,Machop-Machop,Fighting,-,Superpower Pokémon,0.8,19.5,Guts,180,61,Medium Slow,75% male,25% female,70,80,50,35,35,35,305,https://img.pokemondb.net/artwork/large/machop.jpg
670,Machoke-Machoke,Fighting,-,Superpower Pokémon,1.5,70.5,Guts,90,142,Medium Slow,75% male,25% female,80,100,70,50,60,45,405,https://img.pokemondb.net/artwork/large/machoke.jpg
680,Machamp-Machamp,Fighting,-,Superpower Pokémon,1.6,130.0,Guts,45,227,Medium Slow,75% male,25% female,90,130,80,65,85,55,505,https://img.pokemondb.net/artwork/large/machamp.jpg
690,Bellsprout-Bellsprout,Grass,Poison,Flower Pokémon,0.7,4.0,Chlorophyll,255,60,Medium Slow,50% male,50% female,50,75,35,70,30,40,300,https://img.pokemondb.net/artwork/large/bellsprout.jpg
700,Weepinbell-Weepinbell,Grass,Poison,Flycatcher Pokémon,1.0,6.4,Chlorophyll,120,137,Medium Slow,50% male,50% female,65,90,50,85,45,55,390,https://img.pokemondb.net/artwork/large/weepinbell.jpg
710,Victreebel-Victreebel,Grass,Poison,Flycatcher Pokémon,1.7,15.5,Chlorophyll,45,221,Medium Slow,50% male,50% female,80,105,65,100,70,70,490,https://img.pokemondb.net/artwork/large/victreebel.jpg
720,Tentacool-Tentacool,Water,Poison,Jellyfish Pokémon,0.9,45.5,Clear Body,190,67,Slow,50% male,50% female,40,40,35,50,100,70,335,https://img.pokemondb.net/artwork/large/tentacool.jpg
730,Tentacruel-Tentacruel,Water,Poison,Jellyfish Pokémon,1.6,55.0,Clear Body,60,180,Slow,50% male,50% female,80,70,65,80,120,100,515,https://img.pokemondb.net/artwork/large/tentacruel.jpg
740,Geodude-Geodude,Rock,Ground,Rock Pokémon,0.4,20.0,Rock Head,255,60,Medium Slow,50% male,50% female,40,80,100,30,30,20,300,https://img.pokemondb.net/artwork/large/geodude.jpg
741,Geodude-Alolan Geodude,Rock,Ground,Rock Pokémon,0.4,20.3,Magnet Pull,255,60,Medium Slow,50% male,50% female,40,80,100,30,30,20,300,https://img.pokemondb.net/artwork/large/geodude-alolan.jpg
750,Graveler-Graveler,Rock,Ground,Rock Pokémon,1.0,105.0,Rock Head,120,137,Medium Slow,50% male,50% female,55,95,115,45,45,35,390,https://img.pokemondb.net/artwork/large/graveler.jpg
751,Graveler-Alolan Graveler,Rock,Ground,Rock Pokémon,1.0,110.0,Magnet Pull,120,137,Medium Slow,50% male,50% female,55,95,115,45,45,35,390,https://img.pokemondb.net/artwork/large/graveler-alolan.jpg
760,Golem-Golem,Rock,Ground,Megaton Pokémon,1.4,300.0,Rock Head,45,223,Medium Slow,50% male,50% female,80,120,130,55,65,45,495,https://img.pokemondb.net/artwork/large/golem.jpg
761,Golem-Alolan Golem,Rock,Ground,Megaton Pokémon,1.7,316.0,Magnet Pull,45,223,Medium Slow,50% male,50% female,80,120,130,55,65,45,495,https://img.pokemondb.net/artwork/large/golem-alolan.jpg
770,Ponyta-Ponyta,Fire,-,Fire Horse Pokémon,1.0,30.0,Run Away,190,82,Medium Fast,50% male,50% female,50,85,55,65,65,90,410,https://img.pokemondb.net/artwork/large/ponyta.jpg
771,Ponyta-Galarian Ponyta,Fire,-,Unique Horn Pokémon,0.8,24.0,Run Away,190,82,Medium Fast,50% male,50% female,50,85,55,65,65,90,410,https://img.pokemondb.net/artwork/large/ponyta-galarian.jpg
780,Rapidash-Rapidash,Fire,-,Fire Horse Pokémon,1.7,95.0,Run Away,60,175,Medium Fast,50% male,50% female,65,100,70,80,80,105,500,https://img.pokemondb.net/artwork/large/rapidash.jpg
781,Rapidash-Galarian Rapidash,Fire,-,Unique Horn Pokémon,1.7,80.0,Run Away,60,175,Medium Fast,50% male,50% female,65,100,70,80,80,105,500,https://img.pokemondb.net/artwork/large/rapidash-galarian.jpg
790,Slowpoke-Slowpoke,Water,Psychic,Dopey Pokémon,1.2,36.0,Oblivious,190,63,Medium Fast,50% male,50% female,90,65,65,40,40,15,315,https://img.pokemondb.net/artwork/large/slowpoke.jpg
791,Slowpoke-Galarian Slowpoke,Water,Psychic,Dopey Pokémon,1.2,36.0,Gluttony,190,63,Medium Fast,50% male,50% female,90,65,65,40,40,15,315,https://img.pokemondb.net/artwork/large/slowpoke-galarian.jpg
800,Slowbro-Slowbro,Water,Psychic,Hermit Crab Pokémon,1.6,78.5,Oblivious,75,172,Medium Fast,50% male,50% female,95,75,110,100,80,30,490,https://img.pokemondb.net/artwork/large/slowbro.jpg
801,Slowbro-Mega Slowbro,Water,Psychic,Hermit Crab Pokémon,2.0,120.0,Shell Armor,75,207,Medium Fast,50% male,50% female,95,75,180,130,80,30,590,https://img.pokemondb.net/artwork/large/slowbro-mega.jpg
802,Slowbro-Galarian Slowbro,Water,Psychic,Hermit Crab Pokémon,1.6,70.5,Quick Draw,75,172,Medium Fast,50% male,50% female,95,100,95,100,70,30,490,https://img.pokemondb.net/artwork/large/slowbro-galarian.jpg
810,Magnemite-Magnemite,Electric,Steel,Magnet Pokémon,0.3,6.0,Magnet Pull,190,65,Medium Fast,Genderless,Genderless,25,35,70,95,55,45,325,https://img.pokemondb.net/artwork/large/magnemite.jpg
820,Magneton-Magneton,Electric,Steel,Magnet Pokémon,1.0,60.0,Magnet Pull,60,163,Medium Fast,Genderless,Genderless,50,60,95,120,70,70,465,https://img.pokemondb.net/artwork/large/magneton.jpg
830,Farfetch'd-Farfetch'd,Normal,Flying,Wild Duck Pokémon,0.8,15.0,Keen Eye,45,132,Medium Fast,50% male,50% female,52,90,55,58,62,60,377,https://img.pokemondb.net/artwork/large/farfetchd.jpg
831,Farfetch'd-Galarian Farfetch'd,Normal,Flying,Wild Duck Pokémon,0.8,42.0,Steadfast,45,132,Medium Fast,50% male,50% female,52,95,55,58,62,55,377,https://img.pokemondb.net/artwork/large/farfetchd-galarian.jpg
840,Doduo-Doduo,Normal,Flying,Twin Bird Pokémon,1.4,39.2,Run Away,190,62,Medium Fast,50% male,50% female,35,85,45,35,35,75,310,https://img.pokemondb.net/artwork/large/doduo.jpg
850,Dodrio-Dodrio,Normal,Flying,Triple Bird Pokémon,1.8,85.2,Run Away,45,165,Medium Fast,50% male,50% female,60,110,70,60,60,110,470,https://img.pokemondb.net/artwork/large/dodrio.jpg
860,Seel-Seel,Water,-,Sea Lion Pokémon,1.1,90.0,Thick Fat,190,65,Medium Fast,50% male,50% female,65,45,55,45,70,45,325,https://img.pokemondb.net/artwork/large/seel.jpg
870,Dewgong-Dewgong,Water,Ice,Sea Lion Pokémon,1.7,120.0,Thick Fat,75,166,Medium Fast,50% male,50% female,90,70,80,70,95,70,475,https://img.pokemondb.net/artwork/large/dewgong.jpg
880,Grimer-Grimer,Poison,-,Sludge Pokémon,0.9,30.0,Stench,190,65,Medium Fast,50% male,50% female,80,80,50,40,50,25,325,https://img.pokemondb.net/artwork/large/grimer.jpg
881,Grimer-Alolan Grimer,Poison,-,Sludge Pokémon,0.7,42.0,Poison Touch,190,65,Medium Fast,50% male,50% female,80,80,50,40,50,25,325,https://img.pokemondb.net/artwork/large/grimer-alolan.jpg
890,Muk-Muk,Poison,-,Sludge Pokémon,1.2,30.0,Stench,75,175,Medium Fast,50% male,50% female,105,105,75,65,100,50,500,https://img.pokemondb.net/artwork/large/muk.jpg
891,Muk-Alolan Muk,Poison,-,Sludge Pokémon,1.0,52.0,Poison Touch,75,175,Medium Fast,50% male,50% female,105,105,75,65,100,50,500,https://img.pokemondb.net/artwork/large/muk-alolan.jpg
900,Shellder-Shellder,Water,-,Bivalve Pokémon,0.3,4.0,Shell Armor,190,61,Slow,50% male,50% female,30,65,100,45,25,40,305,https://img.pokemondb.net/artwork/large/shellder.jpg
910,Cloyster-Cloyster,Water,Ice,Bivalve Pokémon,1.5,132.5,Shell Armor,60,184,Slow,50% male,50% female,50,95,180,85,45,70,525,https://img.pokemondb.net/artwork/large/cloyster.jpg
920,Gastly-Gastly,Ghost,Poison,Gas Pokémon,1.3,0.1,Levitate,190,62,Medium Slow,50% male,50% female,30,35,30,100,35,80,310,https://img.pokemondb.net/artwork/large/gastly.jpg
930,Haunter-Haunter,Ghost,Poison,Gas Pokémon,1.6,0.1,Levitate,90,142,Medium Slow,50% male,50% female,45,50,45,115,55,95,405,https://img.pokemondb.net/artwork/large/haunter.jpg
940,Gengar-Gengar,Ghost,Poison,Shadow Pokémon,1.5,40.5,Cursed Body,45,225,Medium Slow,50% male,50% female,60,65,60,130,75,110,500,https://img.pokemondb.net/artwork/large/gengar.jpg
941,Gengar-Mega Gengar,Ghost,Poison,Shadow Pokémon,1.4,40.5,Shadow Tag,45,270,Medium Slow,50% male,50% female,60,65,80,170,95,130,600,https://img.pokemondb.net/artwork/large/gengar-mega.jpg
