id,name-form,type_1,type_2,data_species,img
620,Poliwrath-Poliwrath,Water,Fighting,Tadpole Pokémon,https://img.pokemondb.net/artwork/large/poliwrath.jpg
630,Abra-Abra,Psychic,-,Psi Pokémon,https://img.pokemondb.net/artwork/large/abra.jpg
640,Kadabra-Kadabra,Psychic,-,Psi Pokémon,https://img.pokemondb.net/artwork/large/kadabra.jpg
650,Alakazam-Alakazam,Psychic,-,Psi Pokémon,https://img.pokemondb.net/artwork/large/alakazam.jpg
651,Alakazam-Mega Alakazam,Psychic,-,Psi Pokémon,https://img.pokemondb.net/artwork/large/alakazam-mega.jpg
660,Machop-Machop,Fighting,-,Superpower Pokémon,https://img.pokemondb.net/artwork/large/machop.jpg
670,Machoke-Machoke,Fighting,-,Superpower Pokémon,https://img.pokemondb.net/artwork/large/machoke.jpg
680,Machamp-Machamp,Fighting,-,Superpower Pokémon,https://img.pokemondb.net/artwork/large/machamp.jpg
690,Bellsprout-Bellsprout,Grass,Poison,Flower Pokémon,https://img.pokemondb.net/artwork/large/bellsprout.jpg
700,Weepinbell-Weepinbell,Grass,Poison,Flycatcher Pokémon,https://img.pokemondb.net/artwork/large/weepinbell.jpg
710,Victreebel-Victreebel,Grass,Poison,Flycatcher Pokémon,https://img.pokemondb.net/artwork/large/victreebel.jpg
720,Tentacool-Tentacool,Water,Poison,Jellyfish Pokémon,https://img.pokemondb.net/artwork/large/tentacool.jpg
730,Tentacruel-Tentacruel,Water,Poison,Jellyfish Pokémon,https://img.pokemondb.net/artwork/large/tentacruel.jpg
740,Geodude-Geodude,Rock,Ground,Rock Pokémon,https://img.pokemondb.net/artwork/large/geodude.jpg
741,Geodude-Alolan Geodude,Rock,Ground,Rock Pokémon,https://img.pokemondb.net/artwork/large/geodude-alolan.jpg
750,Graveler-Graveler,Rock,Ground,Rock Pokémon,https://img.pokemondb.net/artwork/large/graveler.jpg
751,Graveler-Alolan Graveler,Rock,Ground,Rock Pokémon,https://img.pokemondb.net/artwork/large/graveler-alolan.jpg
760,Golem-Golem,Rock,Ground,Megaton Pokémon,https://img.pokemondb.net/artwork/large/golem.jpg
761,Golem-Alolan Golem,Rock,Ground,Megaton Pokémon,https://img.pokemondb.net/artwork/large/golem-alolan.jpg
770,Ponyta-Ponyta,Fire,-,Fire Horse Pokémon,https://img.pokemondb.net/artwork/large/ponyta.jpg
771,Ponyta-Galarian Ponyta,Fire,-,Unique Horn Pokémon,https://img.pokemondb.net/artwork/large/ponyta-galarian.jpg
780,Rapidash-Rapidash,Fire,-,Fire Horse Pokémon,https://img.pokemondb.net/artwork/large/rapidash.jpg
781,Rapidash-Galarian Rapidash,Fire,-,Unique Horn Pokémon,https://img.pokemondb.net/artwork/large/rapidash-galarian.jpg
790,Slowpoke-Slowpoke,Water,Psychic,Dopey Pokémon,https://img.pokemondb.net/artwork/large/slowpoke.jpg
791,Slowpoke-Galarian Slowpoke,Water,Psychic,Dopey Pokémon,https://img.pokemondb.net/artwork/large/slowpoke-galarian.jpg
800,Slowbro-Slowbro,Water,Psychic,Hermit Crab Pokémon,https://img.pokemondb.net/artwork/large/slowbro.jpg
801,Slowbro-Mega Slowbro,Water,Psychic,Hermit Crab Pokémon,https://img.pokemondb.net/artwork/large/slowbro-mega.jpg
802,Slowbro-Galarian Slowbro,Water,Psychic,Hermit Crab Pokémon,https://img.pokemondb.net/artwork/large/slowbro-galarian.jpg
810,Magnemite-Magnemite,Electric,Steel,Magnet Pokémon,https://img.pokemondb.net/artwork/large/magnemite.jpg
820,Magneton-Magneton,Electric,Steel,Magnet Pokémon,https://img.pokemondb.net/artwork/large/magneton.jpg
830,Farfetch'd-Farfetch'd,Normal,Flying,Wild Duck Pokémon,https://img.pokemondb.net/artwork/large/farfetchd.jpg
831,Farfetch'd-Galarian Farfetch'd,Normal,Flying,Wild Duck Pokémon,https://img.pokemondb.net/artwork/large/farfetchd-galarian.jpg
840,Doduo-Doduo,Normal,Flying,Twin Bird Pokémon,https://img.pokemondb.net/artwork/large/doduo.jpg
850,Dodrio-Dodrio,Normal,Flying,Triple Bird Pokémon,https://img.pokemondb.net/artwork/large/dodrio.jpg
860,Seel-Seel,Water,-,Sea Lion Pokémon,https://img.pokemondb.net/artwork/large/seel.jpg
870,Dewgong-Dewgong,Water,Ice,Sea Lion Pokémon,https://img.pokemondb.net/artwork/large/dewgong.jpg
880,Grimer-Grimer,Poison,-,Sludge Pokémon,https://img.pokemondb.net/artwork/large/grimer.jpg
881,Grimer-Alolan Grimer,Poison,-,Sludge Pokémon,https://img.pokemondb.net/artwork/large/grimer-alolan.jpg
890,Muk-Muk,Poison,-,Sludge Pokémon,https://img.pokemondb.net/artwork/large/muk.jpg
891,Muk-Alolan Muk,Poison,-,Sludge Pokémon,https://img.pokemondb.net/artwork/large/muk-alolan.jpg
900,Shellder-Shellder,Water,-,Bivalve Pokémon,https://img.pokemondb.net/artwork/large/shellder.jpg
910,Cloyster-Cloyster,Water,Ice,Bivalve Pokémon,https://img.pokemondb.net/artwork/large/cloyster.jpg
920,Gastly-Gastly,Ghost,Poison,Gas Pokémon,https://img.pokemondb.net/artwork/large/gastly.jpg
930,Haunter-Haunter,Ghost,Poison,Gas Pokémon,https://img.pokemondb.net/artwork/large/haunter.jpg
940,Gengar-Gengar,Ghost,Poison,Shadow Pokémon,https://img.pokemondb.net/artwork/large/gengar.jpg
941,Gengar-Mega Gengar,Ghost,Poison,Shadow Pokémon,https://img.pokemondb.net/artwork/large/gengar-mega.jpg
950,Onix-Onix,Rock,Ground,Rock Snake Pokémon,https://img.pokemondb.net/artwork/large/onix.jpg
960,Drowzee-Drowzee,Psychic,-,Hypnosis Pokémon,https://img.pokemondb.net/artwork/large/drowzee.jpg
970,Hypno-Hypno,Psychic,-,Hypnosis Pokémon,https://img.pokemondb.net/artwork/large/hypno.jpg
980,Krabby-Krabby,Water,-,River Crab Pokémon,https://img.pokemondb.net/artwork/large/krabby.jpg
990,Kingler-Kingler,Water,-,Pincer Pokémon,https://img.pokemondb.net/artwork/large/kingler.jpg
1000,Voltorb-Voltorb,Electric,-,Ball Pokémon,https://img.pokemondb.net/artwork/large/voltorb.jpg
1001,Voltorb-Hisuian Voltorb,Electric,-,Sphere Pokémon,https://img.pokemondb.net/artwork/large/voltorb-hisuian.jpg
1010,Electrode-Electrode,Electric,-,Ball Pokémon,https://img.pokemondb.net/artwork/large/electrode.jpg
1011,Electrode-Hisuian Electrode,Electric,-,Sphere Pokémon,https://img.pokemondb.net/artwork/large/electrode-hisuian.jpg
1020,Exeggcute-Exeggcute,Grass,Psychic,Egg Pokémon,https://img.pokemondb.net/artwork/large/exeggcute.jpg
1030,Exeggutor-Exeggutor,Grass,Psychic,Coconut Pokémon,https://img.pokemondb.net/artwork/large/exeggutor.jpg
1031,Exeggutor-Alolan Exeggutor,Grass,Psychic,Coconut Pokémon,https://img.pokemondb.net/artwork/large/exeggutor-alolan.jpg
1040,Cubone-Cubone,Ground,-,Lonely Pokémon,https://img.pokemondb.net/artwork/large/cubone.jpg
1050,Marowak-Marowak,Ground,-,Bone Keeper Pokémon,https://img.pokemondb.net/artwork/large/marowak.jpg
1051,Marowak-Alolan Marowak,Ground,-,Bone Keeper Pokémon,https://img.pokemondb.net/artwork/large/marowak-alolan.jpg
1060,Hitmonlee-Hitmonlee,Fighting,-,Kicking Pokémon,https://img.pokemondb.net/artwork/large/hitmonlee.jpg
1070,Hitmonchan-Hitmonchan,Fighting,-,Punching Pokémon,https://img.pokemondb.net/artwork/large/hitmonchan.jpg
1080,Lickitung-Lickitung,Normal,-,Licking Pokémon,https://img.pokemondb.net/artwork/large/lickitung.jpg
1090,Koffing-Koffing,Poison,-,Poison Gas Pokémon,https://img.pokemondb.net/artwork/large/koffing.jpg
1100,Weezing-Weezing,Poison,-,Poison Gas Pokémon,https://img.pokemondb.net/artwork/large/weezing.jpg
1101,Weezing-Galarian Weezing,Poison,-,Poison Gas Pokémon,https://img.pokemondb.net/artwork/large/weezing-galarian.jpg
1110,Rhyhorn-Rhyhorn,Ground,Rock,Spikes Pokémon,https://img.pokemondb.net/artwork/large/rhyhorn.jpg
1120,Rhydon-Rhydon,Ground,Rock,Drill Pokémon,https://img.pokemondb.net/artwork/large/rhydon.jpg
1130,Chansey-Chansey,Normal,-,Egg Pokémon,https://img.pokemondb.net/artwork/large/chansey.jpg
1140,Tangela-Tangela,Grass,-,Vine Pokémon,https://img.pokemondb.net/artwork/large/tangela.jpg
1150,Kangaskhan-Kangaskhan,Normal,-,Parent Pokémon,https://img.pokemondb.net/artwork/large/kangaskhan.jpg
1151,Kangaskhan-Mega Kangaskhan,Normal,-,Parent Pokémon,https://img.pokemondb.net/artwork/large/kangaskhan-mega.jpg
1160,Horsea-Horsea,Water,-,Dragon Pokémon,https://img.pokemondb.net/artwork/large/horsea.jpg
1170,Seadra-Seadra,Water,-,Dragon Pokémon,https://img.pokemondb.net/artwork/large/seadra.jpg
1180,Goldeen-Goldeen,Water,-,Goldfish Pokémon,https://img.pokemondb.net/artwork/large/goldeen.jpg
1190,Seaking-Seaking,Water,-,Goldfish Pokémon,https://img.pokemondb.net/artwork/large/seaking.jpg
1200,Staryu-Staryu,Water,-,Star Shape Pokémon,https://img.pokemondb.net/artwork/large/staryu.jpg
1210,Starmie-Starmie,Water,Psychic,Mysterious Pokémon,https://img.pokemondb.net/artwork/large/starmie.jpg
1220,Mr. Mime-Mr. Mime,Psychic,Fairy,Barrier Pokémon,https://img.pokemondb.net/artwork/large/mr-mime.jpg
1221,Mr. Mime-Galarian Mr. Mime,Psychic,Fairy,Dancing Pokémon,https://img.pokemondb.net/artwork/large/mr-mime-galarian.jpg
1230,Scyther-Scyther,Bug,Flying,Mantis Pokémon,https://img.pokemondb.net/artwork/large/scyther.jpg
1240,Jynx-Jynx,Ice,Psychic,Human Shape Pokémon,https://img.pokemondb.net/artwork/large/jynx.jpg
1250,Electabuzz-Electabuzz,Electric,-,Electric Pokémon,https://img.pokemondb.net/artwork/large/electabuzz.jpg
1260,Magmar-Magmar,Fire,-,Spitfire Pokémon,https://img.pokemondb.net/artwork/large/magmar.jpg
1270,Pinsir-Pinsir,Bug,-,Stag Beetle Pokémon,https://img.pokemondb.net/artwork/large/pinsir.jpg
1271,Pinsir-Mega Pinsir,Bug,-,Stag Beetle Pokémon,https://img.pokemondb.net/artwork/large/pinsir-mega.jpg
1280,Tauros-Tauros,Normal,-,Wild Bull Pokémon,https://img.pokemondb.net/artwork/large/tauros.jpg
1290,Magikarp-Magikarp,Water,-,Fish Pokémon,https://img.pokemondb.net/artwork/large/magikarp.jpg
1300,Gyarados-Gyarados,Water,Flying,Atrocious Pokémon,https://img.pokemondb.net/artwork/large/gyarados.jpg
1301,Gyarados-Mega Gyarados,Water,Flying,Atrocious Pokémon,https://img.pokemondb.net/artwork/large/gyarados-mega.jpg
1310,Lapras-Lapras,Water,Ice,Transport Pokémon,https://img.pokemondb.net/artwork/large/lapras.jpg
1320,Ditto-Ditto,Normal,-,Transform Pokémon,https://img.pokemondb.net/artwork/large/ditto.jpg
1330,Eevee-Eevee,Normal,-,Evolution Pokémon,https://img.pokemondb.net/artwork/large/eevee.jpg
1331,Eevee-Partner Eevee,Normal,-,Evolution Pokémon,https://img.pokemondb.net/artwork/large/eevee-lets-go.jpg
1340,Vaporeon-Vaporeon,Water,-,Bubble Jet Pokémon,https://img.pokemondb.net/artwork/large/vaporeon.jpg
1350,Jolteon-Jolteon,Electric,-,Lightning Pokémon,https://img.pokemondb.net/artwork/large/jolteon.jpg
1360,Flareon-Flareon,Fire,-,Flame Pokémon,https://img.pokemondb.net/artwork/large/flareon.jpg
1370,Porygon-Porygon,Normal,-,Virtual Pokémon,https://img.pokemondb.net/artwork/large/porygon.jpg
1380,Omanyte-Omanyte,Rock,Water,Spiral Pokémon,https://img.pokemondb.net/artwork/large/omanyte.jpg
1390,Omastar-Omastar,Rock,Water,Spiral Pokémon,https://img.pokemondb.net/artwork/large/omastar.jpg
1400,Kabuto-Kabuto,Rock,Water,Shellfish Pokémon,https://img.pokemondb.net/artwork/large/kabuto.jpg
1410,Kabutops-Kabutops,Rock,Water,Shellfish Pokémon,https://img.pokemondb.net/artwork/large/kabutops.jpg
1420,Aerodactyl-Aerodactyl,Rock,Flying,Fossil Pokémon,https://img.pokemondb.net/artwork/large/aerodactyl.jpg
1421,Aerodactyl-Mega Aerodactyl,Rock,Flying,Fossil Pokémon,https://img.pokemondb.net/artwork/large/aerodactyl-mega.jpg
1430,Snorlax-Snorlax,Normal,-,Sleeping Pokémon,https://img.pokemondb.net/artwork/large/snorlax.jpg
1440,Articuno-Articuno,Ice,Flying,Freeze Pokémon,https://img.pokemondb.net/artwork/large/articuno.jpg
1441,Articuno-Galarian Articuno,Ice,Flying,Cruel Pokémon,https://img.pokemondb.net/artwork/large/articuno-galarian.jpg
1450,Zapdos-Zapdos,Electric,Flying,Electric Pokémon,https://img.pokemondb.net/artwork/large/zapdos.jpg
1451,Zapdos-Galarian Zapdos,Electric,Flying,Strong Legs Pokémon,https://img.pokemondb.net/artwork/large/zapdos-galarian.jpg
1460,Moltres-Moltres,Fire,Flying,Flame Pokémon,https://img.pokemondb.net/artwork/large/moltres.jpg
1461,Moltres-Galarian Moltres,Fire,Flying,Malevolent Pokémon,https://img.pokemondb.net/artwork/large/moltres-galarian.jpg
1470,Dratini-Dratini,Dragon,-,Dragon Pokémon,https://img.pokemondb.net/artwork/large/dratini.jpg
1480,Dragonair-Dragonair,Dragon,-,Dragon Pokémon,https://img.pokemondb.net/artwork/large/dragonair.jpg
1490,Dragonite-Dragonite,Dragon,Flying,Dragon Pokémon,https://img.pokemondb.net/artwork/large/dragonite.jpg
1500,Mewtwo-Mewtwo,Psychic,-,Genetic Pokémon,https://img.pokemondb.net/artwork/large/mewtwo.jpg
1501,Mewtwo-Mega Mewtwo X,Psychic,-,Genetic Pokémon,https://img.pokemondb.net/artwork/large/mewtwo-mega-x.jpg
1502,Mewtwo-Mega Mewtwo Y,Psychic,-,Genetic Pokémon,https://img.pokemondb.net/artwork/large/mewtwo-mega-y.jpg
1510,Mew-Mew,Psychic,-,New Species Pokémon,https://img.pokemondb.net/artwork/large/mew.jpg
1520,Chikorita-Chikorita,Grass,-,Leaf Pokémon,https://img.pokemondb.net/artwork/large/chikorita.jpg
1530,Bayleef-Bayleef,Grass,-,Leaf Pokémon,https://img.pokemondb.net/artwork/large/bayleef.jpg
1540,Meganium-Meganium,Grass,-,Herb Pokémon,https://img.pokemondb.net/artwork/large/meganium.jpg
1550,Cyndaquil-Cyndaquil,Fire,-,Fire Mouse Pokémon,https://img.pokemondb.net/artwork/large/cyndaquil.jpg
1560,Quilava-Quilava,Fire,-,Volcano Pokémon,https://img.pokemondb.net/artwork/large/quilava.jpg
1570,Typhlosion-Typhlosion,Fire,-,Volcano Pokémon,https://img.pokemondb.net/artwork/large/typhlosion.jpg
1571,Typhlosion-Hisuian Typhlosion,Fire,-,Ghost Flame Pokémon,https://img.pokemondb.net/artwork/large/typhlosion-hisuian.jpg
1580,Totodile-Totodile,Water,-,Big Jaw Pokémon,https://img.pokemondb.net/artwork/large/totodile.jpg
1590,Croconaw-Croconaw,Water,-,Big Jaw Pokémon,https://img.pokemondb.net/artwork/large/croconaw.jpg
1600,Feraligatr-Feraligatr,Water,-,Big Jaw Pokémon,https://img.pokemondb.net/artwork/large/feraligatr.jpg
1610,Sentret-Sentret,Normal,-,Scout Pokémon,https://img.pokemondb.net/artwork/large/sentret.jpg
1620,Furret-Furret,Normal,-,Long Body Pokémon,https://img.pokemondb.net/artwork/large/furret.jpg
1630,Hoothoot-Hoothoot,Normal,Flying,Owl Pokémon,https://img.pokemondb.net/artwork/large/hoothoot.jpg
1640,Noctowl-Noctowl,Normal,Flying,Owl Pokémon,https://img.pokemondb.net/artwork/large/noctowl.jpg
1650,Ledyba-Ledyba,Bug,Flying,Five Star Pokémon,https://img.pokemondb.net/artwork/large/ledyba.jpg
1660,Ledian-Ledian,Bug,Flying,Five Star Pokémon,https://img.pokemondb.net/artwork/large/ledian.jpg
1670,Spinarak-Spinarak,Bug,Poison,String Spit Pokémon,https://img.pokemondb.net/artwork/large/spinarak.jpg
1680,Ariados-Ariados,Bug,Poison,Long Leg Pokémon,https://img.pokemondb.net/artwork/large/ariados.jpg
1690,Crobat-Crobat,Poison,Flying,Bat Pokémon,https://img.pokemondb.net/artwork/large/crobat.jpg
1700,Chinchou-Chinchou,Water,Electric,Angler Pokémon,https://img.pokemondb.net/artwork/large/chinchou.jpg
1710,Lanturn-Lanturn,Water,Electric,Light Pokémon,https://img.pokemondb.net/artwork/large/lanturn.jpg
1720,Pichu-Pichu,Electric,-,Tiny Mouse Pokémon,https://img.pokemondb.net/artwork/large/pichu.jpg
1730,Cleffa-Cleffa,Fairy,-,Star Shape Pokémon,https://img.pokemondb.net/artwork/large/cleffa.jpg
1740,Igglybuff-Igglybuff,Normal,Fairy,Balloon Pokémon,https://img.pokemondb.net/artwork/large/igglybuff.jpg
1750,Togepi-Togepi,Fairy,-,Spike Ball Pokémon,https://img.pokemondb.net/artwork/large/togepi.jpg
1760,Togetic-Togetic,Fairy,Flying,Happiness Pokémon,https://img.pokemondb.net/artwork/large/togetic.jpg
1770,Natu-Natu,Psychic,Flying,Tiny Bird Pokémon,https://img.pokemondb.net/artwork/large/natu.jpg
1780,Xatu-Xatu,Psychic,Flying,Mystic Pokémon,https://img.pokemondb.net/artwork/large/xatu.jpg
1790,Mareep-Mareep,Electric,-,Wool Pokémon,https://img.pokemondb.net/artwork/large/mareep.jpg
1800,Flaaffy-Flaaffy,Electric,-,Wool Pokémon,https://img.pokemondb.net/artwork/large/flaaffy.jpg
1810,Ampharos-Ampharos,Electric,-,Light Pokémon,https://img.pokemondb.net/artwork/large/ampharos.jpg
1811,Ampharos-Mega Ampharos,Electric,-,Light Pokémon,https://img.pokemondb.net/artwork/large/ampharos-mega.jpg
