id_nb,name-form,type_1,type_2,link,img,data_species,data_height,data_weight,first_ability,second_ability,hidden_ability,training_catch_rate,training_base_exp,training_growth_rate,breeding_gender_male,breeding_gender_female,egg_group1,egg_group2,egg_cycle,stats_hp,stats_attack,stats_defense,stats_sp_atk,stats_sp_def,stats_speed,stats_total,
#0080,Wartortle-Wartortle,Water,-,/pokedex/wartortle,https://img.pokemondb.net/artwork/large/wartortle.jpg,Turtle Pokémon,1.0,22.5,Torrent,-,Rain Dish,45,142,Medium Slow,87.5% male,12.5% female,Monster,Water 1,20,59,63,80,65,80,58,405,
#0090,Blastoise-Blastoise,Water,-,/pokedex/blastoise,https://img.pokemondb.net/artwork/large/blastoise.jpg,Shellfish Pokémon,1.6,85.5,Torrent,-,Rain Dish,45,239,Medium Slow,87.5% male,12.5% female,Monster,Water 1,20,79,83,100,85,105,78,530,
#0091,Blastoise-Mega Blastoise,Water,-,/pokedex/blastoise,https://img.pokemondb.net/artwork/large/blastoise-mega.jpg,Shellfish Pokémon,1.6,101.1,Mega Launcher,-,-,45,284,Medium Slow,87.5% male,12.5% female,Monster,Water 1,20,79,103,120,135,115,78,630,
#0100,Caterpie-Caterpie,Bug,-,/pokedex/caterpie,https://img.pokemondb.net/artwork/large/caterpie.jpg,Worm Pokémon,0.3,2.9,Shield Dust,-,Run Away,255,39,Medium Fast,50% male,50% female,Bug,—,15,45,30,35,20,20,45,195,
#0110,Metapod-Metapod,Bug,-,/pokedex/metapod,https://img.pokemondb.net/artwork/large/metapod.jpg,Cocoon Pokémon,0.7,9.9,Shed Skin,-,-,120,72,Medium Fast,50% male,50% female,Bug,—,15,50,20,55,25,25,30,205,
#0120,Butterfree-Butterfree,Bug,Flying,/pokedex/butterfree,https://img.pokemondb.net/artwork/large/butterfree.jpg,Butterfly Pokémon,1.1,32.0,Compound Eyes,-,Tinted Lens,45,178,Medium Fast,50% male,50% female,Bug,—,15,60,45,50,90,80,70,395,
#0130,Weedle-Weedle,Bug,Poison,/pokedex/weedle,https://img.pokemondb.net/artwork/large/weedle.jpg,Hairy Bug Pokémon,0.3,3.2,Shield Dust,-,Run Away,255,39,Medium Fast,50% male,50% female,Bug,—,15,40,35,30,20,20,50,195,
#0140,Kakuna-Kakuna,Bug,Poison,/pokedex/kakuna,https://img.pokemondb.net/artwork/large/kakuna.jpg,Cocoon Pokémon,0.6,10.0,Shed Skin,-,-,120,72,Medium Fast,50% male,50% female,Bug,—,15,45,25,50,25,25,35,205,
#0150,Beedrill-Beedrill,Bug,Poison,/pokedex/beedrill,https://img.pokemondb.net/artwork/large/beedrill.jpg,Poison Bee Pokémon,1.0,29.5,Swarm,-,Sniper,45,178,Medium Fast,50% male,50% female,Bug,—,15,65,90,40,45,80,75,395,
#0151,Beedrill-Mega Beedrill,Bug,Poison,/pokedex/beedrill,https://img.pokemondb.net/artwork/large/beedrill-mega.jpg,Poison Bee Pokémon,1.4,40.5,Adaptability,-,-,45,223,Medium Fast,50% male,50% female,Bug,—,15,65,150,40,15,80,145,495,
#0160,Pidgey-Pidgey,Normal,Flying,/pokedex/pidgey,https://img.pokemondb.net/artwork/large/pidgey.jpg,Tiny Bird Pokémon,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,255,50,Medium Slow,50% male,50% female,Flying,—,15,40,45,40,35,35,56,251,
#0170,Pidgeotto-Pidgeotto,Normal,Flying,/pokedex/pidgeotto,https://img.pokemondb.net/artwork/large/pidgeotto.jpg,Bird Pokémon,1.1,30.0,Keen Eye,Tangled Feet,Big Pecks,120,122,Medium Slow,50% male,50% female,Flying,—,15,63,60,55,50,50,71,349,
#0180,Pidgeot-Pidgeot,Normal,Flying,/pokedex/pidgeot,https://img.pokemondb.net/artwork/large/pidgeot.jpg,Bird Pokémon,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,45,216,Medium Slow,50% male,50% female,Flying,—,15,83,80,75,70,70,101,479,
#0181,Pidgeot-Mega Pidgeot,Normal,Flying,/pokedex/pidgeot,https://img.pokemondb.net/artwork/large/pidgeot-mega.jpg,Bird Pokémon,2.2,50.5,No Guard,-,-,45,261,Medium Slow,50% male,50% female,Flying,—,15,83,80,80,135,80,121,579,
#0190,Rattata-Rattata,Normal,-,/pokedex/rattata,https://img.pokemondb.net/artwork/large/rattata.jpg,Mouse Pokémon,0.3,3.5,Run Away,Guts,Hustle,255,51,Medium Fast,50% male,50% female,Field,—,15,30,56,35,25,35,72,253,
#0191,Rattata-Alolan Rattata,Normal,-,/pokedex/rattata,https://img.pokemondb.net/artwork/large/rattata-alolan.jpg,Mouse Pokémon,0.3,3.8,Gluttony,Hustle,Thick Fat,255,51,Medium Fast,50% male,50% female,Field,—,15,30,56,35,25,35,72,253,
#0200,Raticate-Raticate,Normal,-,/pokedex/raticate,https://img.pokemondb.net/artwork/large/raticate.jpg,Mouse Pokémon,0.7,18.5,Run Away,Guts,Hustle,127,145,Medium Fast,50% male,50% female,Field,—,15,55,81,60,50,70,97,413,
#0201,Raticate-Alolan Raticate,Normal,-,/pokedex/raticate,https://img.pokemondb.net/artwork/large/raticate-alolan.jpg,Mouse Pokémon,0.7,25.5,Gluttony,Hustle,Thick Fat,127,145,Medium Fast,50% male,50% female,Field,—,15,75,71,70,40,80,77,413,
#0210,Spearow-Spearow,Normal,Flying,/pokedex/spearow,https://img.pokemondb.net/artwork/large/spearow.jpg,Tiny Bird Pokémon,0.3,2.0,Keen Eye,-,Sniper,255,52,Medium Fast,50% male,50% female,Flying,—,15,40,60,30,31,31,70,262,
#0220,Fearow-Fearow,Normal,Flying,/pokedex/fearow,https://img.pokemondb.net/artwork/large/fearow.jpg,Beak Pokémon,1.2,38.0,Keen Eye,-,Sniper,90,155,Medium Fast,50% male,50% female,Flying,—,15,65,90,65,61,61,100,442,
#0230,Ekans-Ekans,Poison,-,/pokedex/ekans,https://img.pokemondb.net/artwork/large/ekans.jpg,Snake Pokémon,2.0,6.9,Intimidate,Shed Skin,Unnerve,255,58,Medium Fast,50% male,50% female,Dragon,Field,20,35,60,44,40,54,55,288,
#0240,Arbok-Arbok,Poison,-,/pokedex/arbok,https://img.pokemondb.net/artwork/large/arbok.jpg,Cobra Pokémon,3.5,65.0,Intimidate,Shed Skin,Unnerve,90,157,Medium Fast,50% male,50% female,Dragon,Field,20,60,95,69,65,79,80,448,
#0250,Pikachu-Pikachu,Electric,-,/pokedex/pikachu,https://img.pokemondb.net/artwork/large/pikachu.jpg,Mouse Pokémon,0.4,6.0,Static,-,Lightning Rod,190,112,Medium Fast,50% male,50% female,Fairy,Field,10,35,55,40,50,50,90,320,
#0251,Pikachu-Partner Pikachu,Electric,-,/pokedex/pikachu,https://img.pokemondb.net/artwork/large/pikachu-lets-go.jpg,Mouse Pokémon,0.4,6.0,Static,-,Lightning Rod,190,112,Medium Fast,50% male,50% female,—,—,10,45,80,50,75,60,120,430,
#0260,Raichu-Raichu,Electric,-,/pokedex/raichu,https://img.pokemondb.net/artwork/large/raichu.jpg,Mouse Pokémon,0.8,30.0,Static,-,Lightning Rod,75,218,Medium Fast,50% male,50% female,Fairy,Field,10,60,90,55,90,80,110,485,
#0261,Raichu-Alolan Raichu,Electric,-,/pokedex/raichu,https://img.pokemondb.net/artwork/large/raichu-alolan.jpg,Mouse Pokémon,0.7,21.0,Surge Surfer,-,-,75,218,Medium Fast,50% male,50% female,Fairy,Field,10,60,85,50,95,85,110,485,
#0270,Sandshrew-Sandshrew,Ground,-,/pokedex/sandshrew,https://img.pokemondb.net/artwork/large/sandshrew.jpg,Mouse Pokémon,0.6,12.0,Sand Veil,-,Sand Rush,255,60,Medium Fast,50% male,50% female,Field,—,20,50,75,85,20,30,40,300,
#0271,Sandshrew-Alolan Sandshrew,Ground,-,/pokedex/sandshrew,https://img.pokemondb.net/artwork/large/sandshrew-alolan.jpg,Mouse Pokémon,0.7,40.0,Snow Cloak,-,Slush Rush,255,60,Medium Fast,50% male,50% female,Field,—,20,50,75,90,10,35,40,300,
#0280,Sandslash-Sandslash,Ground,-,/pokedex/sandslash,https://img.pokemondb.net/artwork/large/sandslash.jpg,Mouse Pokémon,1.0,29.5,Sand Veil,-,Sand Rush,90,158,Medium Fast,50% male,50% female,Field,—,20,75,100,110,45,55,65,450,
#0281,Sandslash-Alolan Sandslash,Ground,-,/pokedex/sandslash,https://img.pokemondb.net/artwork/large/sandslash-alolan.jpg,Mouse Pokémon,1.2,55.0,Snow Cloak,-,Slush Rush,90,158,Medium Fast,50% male,50% female,Field,—,20,75,100,120,25,65,65,450,
#0290,Nidoran♀-Nidoran♀,Poison,-,/pokedex/nidoran-f,https://img.pokemondb.net/artwork/large/nidoran-f.jpg,Poison Pin Pokémon,0.4,7.0,Poison Point,Rivalry,Hustle,235,55,Medium Slow,0% male,100% female,Field,Monster,20,55,47,52,40,40,41,275,
#0300,Nidorina-Nidorina,Poison,-,/pokedex/nidorina,https://img.pokemondb.net/artwork/large/nidorina.jpg,Poison Pin Pokémon,0.8,20.0,Poison Point,Rivalry,Hustle,120,128,Medium Slow,0% male,100% female,Undiscovered,—,20,70,62,67,55,55,56,365,
#0310,Nidoqueen-Nidoqueen,Poison,Ground,/pokedex/nidoqueen,https://img.pokemondb.net/artwork/large/nidoqueen.jpg,Drill Pokémon,1.3,60.0,Poison Point,Rivalry,Sheer Force,45,227,Medium Slow,0% male,100% female,Undiscovered,—,20,90,92,87,75,85,76,505,
#0320,Nidoran♂-Nidoran♂,Poison,-,/pokedex/nidoran-m,https://img.pokemondb.net/artwork/large/nidoran-m.jpg,Poison Pin Pokémon,0.5,9.0,Poison Point,Rivalry,Hustle,235,55,Medium Slow,100% male,0% female,Field,Monster,20,46,57,40,40,40,50,273,
#0330,Nidorino-Nidorino,Poison,-,/pokedex/nidorino,https://img.pokemondb.net/artwork/large/nidorino.jpg,Poison Pin Pokémon,0.9,19.5,Poison Point,Rivalry,Hustle,120,128,Medium Slow,100% male,0% female,Field,Monster,20,61,72,57,55,55,65,365,
#0340,Nidoking-Nidoking,Poison,Ground,/pokedex/nidoking,https://img.pokemondb.net/artwork/large/nidoking.jpg,Drill Pokémon,1.4,62.0,Poison Point,Rivalry,Sheer Force,45,227,Medium Slow,100% male,0% female,Field,Monster,20,81,102,77,85,75,85,505,
#0350,Clefairy-Clefairy,Fairy,-,/pokedex/clefairy,https://img.pokemondb.net/artwork/large/clefairy.jpg,Fairy Pokémon,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,150,113,Fast,25% male,75% female,Fairy,—,10,70,45,48,60,65,35,323,
#0360,Clefable-Clefable,Fairy,-,/pokedex/clefable,https://img.pokemondb.net/artwork/large/clefable.jpg,Fairy Pokémon,1.3,40.0,Cute Charm,Magic Guard,Unaware,25,217,Fast,25% male,75% female,Fairy,—,10,95,70,73,95,90,60,483,
#0370,Vulpix-Vulpix,Fire,-,/pokedex/vulpix,https://img.pokemondb.net/artwork/large/vulpix.jpg,Fox Pokémon,0.6,9.9,Flash Fire,-,Drought,190,60,Medium Fast,25% male,75% female,Field,—,20,38,41,40,50,65,65,299,
#0371,Vulpix-Alolan Vulpix,Fire,-,/pokedex/vulpix,https://img.pokemondb.net/artwork/large/vulpix-alolan.jpg,Fox Pokémon,0.6,9.9,Snow Cloak,-,Snow Warning,190,60,Medium Fast,25% male,75% female,Field,—,20,38,41,40,50,65,65,299,
#0380,Ninetales-Ninetales,Fire,-,/pokedex/ninetales,https://img.pokemondb.net/artwork/large/ninetales.jpg,Fox Pokémon,1.1,19.9,Flash Fire,-,Drought,75,177,Medium Fast,25% male,75% female,Field,—,20,73,76,75,81,100,100,505,
#0381,Ninetales-Alolan Ninetales,Fire,-,/pokedex/ninetales,https://img.pokemondb.net/artwork/large/ninetales-alolan.jpg,Fox Pokémon,1.1,19.9,Snow Cloak,-,Snow Warning,75,177,Medium Fast,25% male,75% female,Field,—,20,73,67,75,81,100,109,505,
#0390,Jigglypuff-Jigglypuff,Normal,Fairy,/pokedex/jigglypuff,https://img.pokemondb.net/artwork/large/jigglypuff.jpg,Balloon Pokémon,0.5,5.5,Cute Charm,Competitive,Friend Guard,170,95,Fast,25% male,75% female,Fairy,—,10,115,45,20,45,25,20,270,
#0400,Wigglytuff-Wigglytuff,Normal,Fairy,/pokedex/wigglytuff,https://img.pokemondb.net/artwork/large/wigglytuff.jpg,Balloon Pokémon,1.0,12.0,Cute Charm,Competitive,Frisk,50,196,Fast,25% male,75% female,Fairy,—,10,140,70,45,85,50,45,435,
#0410,Zubat-Zubat,Poison,Flying,/pokedex/zubat,https://img.pokemondb.net/artwork/large/zubat.jpg,Bat Pokémon,0.8,7.5,Inner Focus,-,Infiltrator,255,49,Medium Fast,50% male,50% female,Flying,—,15,40,45,35,30,40,55,245,
#0420,Golbat-Golbat,Poison,Flying,/pokedex/golbat,https://img.pokemondb.net/artwork/large/golbat.jpg,Bat Pokémon,1.6,55.0,Inner Focus,-,Infiltrator,90,159,Medium Fast,50% male,50% female,Flying,—,15,75,80,70,65,75,90,455,
#0430,Oddish-Oddish,Grass,Poison,/pokedex/oddish,https://img.pokemondb.net/artwork/large/oddish.jpg,Weed Pokémon,0.5,5.4,Chlorophyll,-,Run Away,255,64,Medium Slow,50% male,50% female,Grass,—,20,45,50,55,75,65,30,320,
#0440,Gloom-Gloom,Grass,Poison,/pokedex/gloom,https://img.pokemondb.net/artwork/large/gloom.jpg,Weed Pokémon,0.8,8.6,Chlorophyll,-,Stench,120,138,Medium Slow,50% male,50% female,Grass,—,20,60,65,70,85,75,40,395,
#0450,Vileplume-Vileplume,Grass,Poison,/pokedex/vileplume,https://img.pokemondb.net/artwork/large/vileplume.jpg,Flower Pokémon,1.2,18.6,Chlorophyll,-,Effect Spore,45,221,Medium Slow,50% male,50% female,Grass,—,20,75,80,85,110,90,50,490,
#0460,Paras-Paras,Bug,Grass,/pokedex/paras,https://img.pokemondb.net/artwork/large/paras.jpg,Mushroom Pokémon,0.3,5.4,Effect Spore,Dry Skin,Damp,190,57,Medium Fast,50% male,50% female,Bug,Grass,20,35,70,55,45,55,25,285,
#0470,Parasect-Parasect,Bug,Grass,/pokedex/parasect,https://img.pokemondb.net/artwork/large/parasect.jpg,Mushroom Pokémon,1.0,29.5,Effect Spore,Dry Skin,Damp,75,142,Medium Fast,50% male,50% female,Bug,Grass,20,60,95,80,60,80,30,405,
#0480,Venonat-Venonat,Bug,Poison,/pokedex/venonat,https://img.pokemondb.net/artwork/large/venonat.jpg,Insect Pokémon,1.0,30.0,Compound Eyes,Tinted Lens,Run Away,190,61,Medium Fast,50% male,50% female,Bug,—,20,60,55,50,40,55,45,305,
#0490,Venomoth-Venomoth,Bug,Poison,/pokedex/venomoth,https://img.pokemondb.net/artwork/large/venomoth.jpg,Poison Moth Pokémon,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,75,158,Medium Fast,50% male,50% female,Bug,—,20,70,65,60,90,75,90,450,
#0500,Diglett-Diglett,Ground,-,/pokedex/diglett,https://img.pokemondb.net/artwork/large/diglett.jpg,Mole Pokémon,0.2,0.8,Sand Veil,Arena Trap,Sand Force,255,53,Medium Fast,50% male,50% female,Field,—,20,10,55,25,35,45,95,265,
#0501,Diglett-Alolan Diglett,Ground,-,/pokedex/diglett,https://img.pokemondb.net/artwork/large/diglett-alolan.jpg,Mole Pokémon,0.2,1.0,Sand Veil,Tangling Hair,Sand Force,255,53,Medium Fast,50% male,50% female,Field,—,20,10,55,30,35,45,90,265,
#0510,Dugtrio-Dugtrio,Ground,-,/pokedex/dugtrio,https://img.pokemondb.net/artwork/large/dugtrio.jpg,Mole Pokémon,0.7,33.3,Sand Veil,Arena Trap,Sand Force,50,149,Medium Fast,50% male,50% female,Field,—,20,35,100,50,50,70,120,425,
#0511,Dugtrio-Alolan Dugtrio,Ground,-,/pokedex/dugtrio,https://img.pokemondb.net/artwork/large/dugtrio-alolan.jpg,Mole Pokémon,0.7,66.6,Sand Veil,Tangling Hair,Sand Force,50,149,Medium Fast,50% male,50% female,Field,—,20,35,100,60,50,70,110,425,
#0520,Meowth-Meowth,Normal,-,/pokedex/meowth,https://img.pokemondb.net/artwork/large/meowth.jpg,Scratch Cat Pokémon,0.4,4.2,Pickup,Technician,Unnerve,255,58,Medium Fast,50% male,50% female,Field,—,20,40,45,35,40,40,90,290,
#0521,Meowth-Alolan Meowth,Normal,-,/pokedex/meowth,https://img.pokemondb.net/artwork/large/meowth-alolan.jpg,Scratch Cat Pokémon,0.4,4.2,Pickup,Technician,Rattled,255,58,Medium Fast,50% male,50% female,Field,—,20,40,35,35,50,40,90,290,
#0522,Meowth-Galarian Meowth,Normal,-,/pokedex/meowth,https://img.pokemondb.net/artwork/large/meowth-galarian.jpg,Scratch Cat Pokémon,0.4,7.5,Pickup,Tough Claws,Unnerve,255,58,Medium Fast,50% male,50% female,Field,—,20,50,65,55,40,40,40,290,
#0530,Persian-Persian,Normal,-,/pokedex/persian,https://img.pokemondb.net/artwork/large/persian.jpg,Classy Cat Pokémon,1.0,32.0,Limber,Technician,Unnerve,90,154,Medium Fast,50% male,50% female,Field,—,20,65,70,60,65,65,115,440,
#0531,Persian-Alolan Persian,Normal,-,/pokedex/persian,https://img.pokemondb.net/artwork/large/persian-alolan.jpg,Classy Cat Pokémon,1.1,33.0,Fur Coat,Technician,Rattled,90,154,Medium Fast,50% male,50% female,Field,—,20,65,60,60,75,65,115,440,
#0540,Psyduck-Psyduck,Water,-,/pokedex/psyduck,https://img.pokemondb.net/artwork/large/psyduck.jpg,Duck Pokémon,0.8,19.6,Damp,Cloud Nine,Swift Swim,190,64,Medium Fast,50% male,50% female,Field,Water 1,20,50,52,48,65,50,55,320,
#0550,Golduck-Golduck,Water,-,/pokedex/golduck,https://img.pokemondb.net/artwork/large/golduck.jpg,Duck Pokémon,1.7,76.6,Damp,Cloud Nine,Swift Swim,75,175,Medium Fast,50% male,50% female,Field,Water 1,20,80,82,78,95,80,85,500,
#0560,Mankey-Mankey,Fighting,-,/pokedex/mankey,https://img.pokemondb.net/artwork/large/mankey.jpg,Pig Monkey Pokémon,0.5,28.0,Vital Spirit,Anger Point,Defiant,190,61,Medium Fast,50% male,50% female,Field,—,20,40,80,35,35,45,70,305,
#0570,Primeape-Primeape,Fighting,-,/pokedex/primeape,https://img.pokemondb.net/artwork/large/primeape.jpg,Pig Monkey Pokémon,1.0,32.0,Vital Spirit,Anger Point,Defiant,75,159,Medium Fast,50% male,50% female,Field,—,20,65,105,60,60,70,95,455,
#0580,Growlithe-Growlithe,Fire,-,/pokedex/growlithe,https://img.pokemondb.net/artwork/large/growlithe.jpg,Puppy Pokémon,0.7,19.0,Intimidate,Flash Fire,Justified,190,70,Slow,75% male,25% female,Field,—,20,55,70,45,70,50,60,350,
#0581,Growlithe-Hisuian Growlithe,Fire,-,/pokedex/growlithe,https://img.pokemondb.net/artwork/large/growlithe-hisuian.jpg,Scout Pokémon,0.8,22.7,Intimidate,Flash Fire,Justified,—,—,—,—,—,—,—,—,60,75,45,65,50,55,350,
#0590,Arcanine-Arcanine,Fire,-,/pokedex/arcanine,https://img.pokemondb.net/artwork/large/arcanine.jpg,Legendary Pokémon,1.9,155.0,Intimidate,Flash Fire,Justified,75,194,Slow,75% male,25% female,Field,—,20,90,110,80,100,80,95,555,
#0591,Arcanine-Hisuian Arcanine,Fire,-,/pokedex/arcanine,https://img.pokemondb.net/artwork/large/arcanine-hisuian.jpg,Legendary Pokémon,2.0,168.0,Intimidate,Flash Fire,Justified,—,—,—,—,—,—,—,—,95,115,80,95,80,90,555,
#0600,Poliwag-Poliwag,Water,-,/pokedex/poliwag,https://img.pokemondb.net/artwork/large/poliwag.jpg,Tadpole Pokémon,0.6,12.4,Water Absorb,Damp,Swift Swim,255,60,Medium Slow,50% male,50% female,Water 1,—,20,40,50,40,40,40,90,300,
#0610,Poliwhirl-Poliwhirl,Water,-,/pokedex/poliwhirl,https://img.pokemondb.net/artwork/large/poliwhirl.jpg,Tadpole Pokémon,1.0,20.0,Water Absorb,Damp,Swift Swim,120,135,Medium Slow,50% male,50% female,Water 1,—,20,65,65,65,50,50,90,385,
#0620,Poliwrath-Poliwrath,Water,Fighting,/pokedex/poliwrath,https://img.pokemondb.net/artwork/large/poliwrath.jpg,Tadpole Pokémon,1.3,54.0,Water Absorb,Damp,Swift Swim,45,230,Medium Slow,50% male,50% female,Water 1,—,20,90,95,95,70,90,70,510,
#0630,Abra-Abra,Psychic,-,/pokedex/abra,https://img.pokemondb.net/artwork/large/abra.jpg,Psi Pokémon,0.9,19.5,Synchronize,Inner Focus,Magic Guard,200,62,Medium Slow,75% male,25% female,Human-Like,—,20,25,20,15,105,55,90,310,
#0640,Kadabra-Kadabra,Psychic,-,/pokedex/kadabra,https://img.pokemondb.net/artwork/large/kadabra.jpg,Psi Pokémon,1.3,56.5,Synchronize,Inner Focus,Magic Guard,100,140,Medium Slow,75% male,25% female,Human-Like,—,20,40,35,30,120,70,105,400,
#0650,Alakazam-Alakazam,Psychic,-,/pokedex/alakazam,https://img.pokemondb.net/artwork/large/alakazam.jpg,Psi Pokémon,1.5,48.0,Synchronize,Inner Focus,Magic Guard,50,225,Medium Slow,75% male,25% female,Human-Like,—,20,55,50,45,135,95,120,500,
#0651,Alakazam-Mega Alakazam,Psychic,-,/pokedex/alakazam,https://img.pokemondb.net/artwork/large/alakazam-mega.jpg,Psi Pokémon,1.2,48.0,Trace,-,-,50,270,Medium Slow,75% male,25% female,Human-Like,—,20,55,50,65,175,105,150,600,
#0660,Machop-Machop,Fighting,-,/pokedex/machop,https://img.pokemondb.net/artwork/large/machop.jpg,Superpower Pokémon,0.8,19.5,Guts,No Guard,Steadfast,180,61,Medium Slow,75% male,25% female,Human-Like,—,20,70,80,50,35,35,35,305,
#0670,Machoke-Machoke,Fighting,-,/pokedex/machoke,https://img.pokemondb.net/artwork/large/machoke.jpg,Superpower Pokémon,1.5,70.5,Guts,No Guard,Steadfast,90,142,Medium Slow,75% male,25% female,Human-Like,—,20,80,100,70,50,60,45,405,
#0680,Machamp-Machamp,Fighting,-,/pokedex/machamp,https://img.pokemondb.net/artwork/large/machamp.jpg,Superpower Pokémon,1.6,130.0,Guts,No Guard,Steadfast,45,227,Medium Slow,75% male,25% female,Human-Like,—,20,90,130,80,65,85,55,505,
#0690,Bellsprout-Bellsprout,Grass,Poison,/pokedex/bellsprout,https://img.pokemondb.net/artwork/large/bellsprout.jpg,Flower Pokémon,0.7,4.0,Chlorophyll,-,Gluttony,255,60,Medium Slow,50% male,50% female,Grass,—,20,50,75,35,70,30,40,300,
#0700,Weepinbell-Weepinbell,Grass,Poison,/pokedex/weepinbell,https://img.pokemondb.net/artwork/large/weepinbell.jpg,Flycatcher Pokémon,1.0,6.4,Chlorophyll,-,Gluttony,120,137,Medium Slow,50% male,50% female,Grass,—,20,65,90,50,85,45,55,390,
#0710,Victreebel-Victreebel,Grass,Poison,/pokedex/victreebel,https://img.pokemondb.net/artwork/large/victreebel.jpg,Flycatcher Pokémon,1.7,15.5,Chlorophyll,-,Gluttony,45,221,Medium Slow,50% male,50% female,Grass,—,20,80,105,65,100,70,70,490,
#0720,Tentacool-Tentacool,Water,Poison,/pokedex/tentacool,https://img.pokemondb.net/artwork/large/tentacool.jpg,Jellyfish Pokémon,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,190,67,Slow,50% male,50% female,Water 3,—,20,40,40,35,50,100,70,335,
#0730,Tentacruel-Tentacruel,Water,Poison,/pokedex/tentacruel,https://img.pokemondb.net/artwork/large/tentacruel.jpg,Jellyfish Pokémon,1.6,55.0,Clear Body,Liquid Ooze,Rain Dish,60,180,Slow,50% male,50% female,Water 3,—,20,80,70,65,80,120,100,515,
#0740,Geodude-Geodude,Rock,Ground,/pokedex/geodude,https://img.pokemondb.net/artwork/large/geodude.jpg,Rock Pokémon,0.4,20.0,Rock Head,Sturdy,Sand Veil,255,60,Medium Slow,50% male,50% female,Mineral,—,15,40,80,100,30,30,20,300,
#0741,Geodude-Alolan Geodude,Rock,Ground,/pokedex/geodude,https://img.pokemondb.net/artwork/large/geodude-alolan.jpg,Rock Pokémon,0.4,20.3,Magnet Pull,Sturdy,Galvanize,255,60,Medium Slow,50% male,50% female,Mineral,—,15,40,80,100,30,30,20,300,
#0750,Graveler-Graveler,Rock,Ground,/pokedex/graveler,https://img.pokemondb.net/artwork/large/graveler.jpg,Rock Pokémon,1.0,105.0,Rock Head,Sturdy,Sand Veil,120,137,Medium Slow,50% male,50% female,Mineral,—,15,55,95,115,45,45,35,390,
